year,Team_A,Team_B,poss_A,rtg_A,poss_B,rtg_B,winner,formatting_a,formatting_b,,
2023,Maryland,West Virginia,64.5,21.97,69.6,22.44,1,1,1,,
2023,San Diego State,College of Charleston,66.6,23.16,70.7,11.23,1,1,1,,
2023,Virginia,Furman,62.5,20.2,69.4,6.96,0,1,1,,
2023,Creighton,NC State,69.3,25.56,69.8,17.22,1,1,1,,
2023,Baylor,UC Santa Barbara,67.8,24.26,65.5,4.84,1,1,1,,
2023,Missouri,Utah State,70,16.01,69.2,19.98,1,1,1,,
2023,Arizona,Princeton,72.7,26.09,69,6.63,0,1,1,,
2023,Purdue,FDU,64.2,27.21,69.8,-12.64,0,1,1,,
2023,Memphis,Florida Atlantic,72.2,20.35,68.5,20.26,0,1,1,,
2023,Duke,Oral Roberts,65.5,23.45,71.5,11.53,1,1,1,,
2023,Tennessee,Louisiana,65.9,30.64,69.2,6.44,1,1,1,,
2023,Kentucky,Providence,66.8,21.61,68.2,17.6,1,1,1,,
2023,Kansas State,Montana State,70.5,22.24,67.9,3.4,1,1,1,,
2023,Michigan State,Southern California,65.4,20.8,68.3,18.26,1,1,1,,
2023,Marquette,Vermont,69.3,24.16,65.5,2.92,1,1,1,,
2023,Houston,Northern Kentucky,64.8,33.42,63.5,-0.79,1,1,1,,
2023,Iowa,Auburn,69.6,19.82,68.7,20.45,0,1,1,,
2023,Miami (FL),Drake,68.9,19.94,67,11.9,1,1,1,,
2023,Indiana,Kent State,68.4,21.42,69.7,10.41,1,1,1,,
2023,Iowa State,Pittsburgh,65.7,21.77,68.1,15.33,0,1,1,,
2023,Xavier,Kennesaw State,72,22.08,69.8,0.73,1,1,1,,
2023,Texas A&M,Penn State,67.1,20.1,64.4,19.01,0,1,1,,
2023,Texas,Colgate,70.1,29.33,68.2,3.33,1,1,1,,
2023,Kansas,Howard,70.2,26.88,71.8,-7.14,1,1,1,,
2023,Arkansas,Illinois,70.2,22.56,69.5,20.58,1,1,1,,
2023,Saint Mary's (CA),Virginia Commonwealth,63.8,26.11,68.3,14.17,1,1,1,,
2023,Connecticut,Iona,68.4,32.5,68.8,10.99,1,1,1,,
2023,TCU,Arizona State,70.9,21.52,69,16.21,1,1,1,,
2023,Gonzaga,Grand Canyon,71.9,26.58,66.9,6.1,1,1,1,,
2023,Northwestern,Boise State,65,19.44,66.8,18.45,1,1,1,,
2023,UCLA,UNC Asheville,67.2,31.86,69.3,-2.62,1,1,1,,
2023,Alabama,Maryland,72.6,32.38,64.5,21.97,1,1,1,,
2023,San Diego State,Furman,66.6,23.16,69.4,6.96,1,1,1,,
2023,Creighton,Baylor,69.3,25.56,67.8,24.26,1,1,1,,
2023,Missouri,Princeton,70,16.01,69,6.63,0,1,1,,
2023,FDU,Florida Atlantic,69.8,-12.64,68.5,20.26,0,1,1,,
2023,Duke,Tennessee,65.5,23.45,65.9,30.64,0,1,1,,
2023,Kentucky,Kansas State,66.8,21.61,70.5,22.24,0,1,1,,
2023,Michigan State,Marquette,65.4,20.8,69.3,24.16,1,1,1,,
2023,Houston,Auburn,64.8,33.42,68.7,20.45,1,1,1,,
2023,Miami (FL),Indiana,68.9,19.94,68.4,21.42,1,1,1,,
2023,Pittsburgh,Xavier,68.1,15.33,72,22.08,0,1,1,,
2023,Penn State,Texas,64.4,19.01,70.1,29.33,0,1,1,,
2023,Kansas,Arkansas,70.2,26.88,70.2,22.56,0,1,1,,
2023,Saint Mary's (CA),Connecticut,63.8,26.11,68.4,32.5,0,1,1,,
2023,TCU,Gonzaga,70.9,21.52,71.9,26.58,0,1,1,,
2023,Northwestern,UCLA,65,19.44,67.2,31.86,0,1,1,,
2023,Alabama,San Diego State,72.6,32.38,66.6,23.16,0,1,1,,
2023,Creighton,Princeton,69.3,25.56,69,6.63,1,1,1,,
2023,Florida Atlantic,Tennessee,68.5,20.26,65.9,30.64,1,1,1,,
2023,Kansas State,Michigan State,70.5,22.24,65.4,20.8,1,1,1,,
2023,Houston,Miami (FL),64.8,33.42,68.9,19.94,0,1,1,,
2023,Xavier,Texas,72,22.08,70.1,29.33,0,1,1,,
2023,Arkansas,Connecticut,70.2,22.56,68.4,32.5,0,1,1,,
2023,Gonzaga,UCLA,71.9,26.58,67.2,31.86,1,1,1,,
2023,San Diego State,Creighton,66.6,23.16,69.3,25.56,1,1,1,,
2023,Florida Atlantic,Kansas State,68.5,20.26,70.5,22.24,1,1,1,,
2023,Miami (FL),Texas,68.9,19.94,70.1,29.33,1,1,1,,
2023,Connecticut,Gonzaga,68.4,32.5,71.9,26.58,1,1,1,,
2023,San Diego State,Florida Atlantic,66.6,23.16,68.5,20.26,1,1,1,,
2023,Miami (FL),Connecticut,68.9,19.94,68.4,32.5,0,1,1,,
2023,San Diego State,Connecticut,66.6,23.16,68.4,32.5,0,1,1,,
2024,Connecticut,Stetson,66.2,35.48,67.4,-6.56,1,1,1,,
2024,Florida Atlantic,Northwestern,69.1,19.78,64.7,18.67,0,1,1,,
2024,San Diego State,UAB,67.2,22.17,68.7,7.44,1,1,1,,
2024,Auburn,Yale,70.8,32.64,66.1,7.38,0,1,1,,
2024,Brigham Young,Duquesne,70,28.77,67.2,11.02,0,1,1,,
2024,Illinois,Morehead State,70.6,27.69,66.3,2.35,1,1,1,,
2024,Washington State,Drake,66.7,20.44,68.5,16.18,1,1,1,,
2024,Iowa State,South Dakota State,68.2,33,68.7,1.8,1,1,1,,
2024,North Carolina,Wagner,71.4,29.39,62.9,-15.35,1,1,1,,
2024,Mississippi State,Michigan State,68.9,20.91,66.4,25.12,0,1,1,,
2024,Saint Mary's (CA),Grand Canyon,63.5,25.89,69.8,14.63,0,1,1,,
2024,Alabama,College of Charleston,74.2,29.44,70,6.18,1,1,1,,
2024,Clemson,New Mexico,67.5,21.3,72.5,21.98,1,1,1,,
2024,Baylor,Colgate,66.9,29.22,66.5,0.41,1,1,1,,
2024,Dayton,Nevada,64.6,20.36,67,19.32,1,1,1,,
2024,Arizona,Long Beach State,73.3,33.93,72.7,-1.49,1,1,1,,
2024,Houston,Longwood,64.2,39.33,68.3,-1.77,1,1,1,,
2024,Nebraska,Texas A&M,69.3,21.36,67.5,19.11,0,1,1,,
2024,Wisconsin,James Madison,65.7,24.87,71.8,11.91,0,1,1,,
2024,Duke,Vermont,67.7,29.6,65.6,4.81,1,1,1,,
2024,Texas Tech,NC State,67.2,23.29,68.8,16.44,0,1,1,,
2024,Kentucky,Oakland,74,23.98,68.2,2.21,0,1,1,,
2024,Florida,Colorado,72.9,21.28,69.1,22.5,0,1,1,,
2024,Marquette,Western Kentucky,69.3,27.42,76,1.66,1,1,1,,
2024,Purdue,Grambling,69,34.84,67.1,-14.11,1,1,1,,
2024,Utah State,TCU,69.1,17.38,70.6,21.39,1,1,1,,
2024,Gonzaga,McNeese State,70.2,24.5,67.5,11.65,1,1,1,,
2024,Kansas,Samford,69.7,25.01,74.3,7.86,1,1,1,,
2024,South Carolina,Oregon,64.7,16.92,68.6,17.42,0,1,1,,
2024,Creighton,Akron,67.9,28.82,67,4.46,1,1,1,,
2024,Texas,Colorado State,68.2,23.19,66.9,19.43,1,1,1,,
2024,Tennessee,Saint Peter's,70.6,30.53,65.4,-5.61,1,1,1,,
2024,Connecticut,Northwestern,66.2,35.48,64.7,18.67,1,1,1,,
2024,San Diego State,Yale,67.2,22.17,66.1,7.38,1,1,1,,
2024,Duquesne,Illinois,67.2,11.02,70.6,27.69,0,1,1,,
2024,Washington State,Iowa State,66.7,20.44,68.2,33,0,1,1,,
2024,North Carolina,Michigan State,71.4,29.39,66.4,25.12,1,1,1,,
2024,Grand Canyon,Alabama,69.8,14.63,74.2,29.44,0,1,1,,
2024,Clemson,Baylor,67.5,21.3,66.9,29.22,1,1,1,,
2024,Dayton,Arizona,64.6,20.36,73.3,33.93,0,1,1,,
2024,Houston,Texas A&M,64.2,39.33,67.5,19.11,1,1,1,,
2024,James Madison,Duke,71.8,11.91,67.7,29.6,0,1,1,,
2024,NC State,Oakland,68.8,16.44,68.2,2.21,1,1,1,,
2024,Colorado,Marquette,69.1,22.5,69.3,27.42,0,1,1,,
2024,Purdue,Utah State,69,34.84,69.1,17.38,1,1,1,,
2024,Gonzaga,Kansas,70.2,24.5,69.7,25.01,1,1,1,,
2024,Oregon,Creighton,68.6,17.42,67.9,28.82,0,1,1,,
2024,Texas,Tennessee,68.2,23.19,70.6,30.53,0,1,1,,
2024,Connecticut,San Diego State,66.2,35.48,67.2,22.17,1,1,1,,
2024,Illinois,Iowa State,70.6,27.69,68.2,33,1,1,1,,
2024,North Carolina,Alabama,71.4,29.39,74.2,29.44,0,1,1,,
2024,Clemson,Arizona,67.5,21.3,73.3,33.93,1,1,1,,
2024,Houston,Duke,64.2,39.33,67.7,29.6,0,1,1,,
2024,NC State,Marquette,68.8,16.44,69.3,27.42,1,1,1,,
2024,Purdue,Gonzaga,69,34.84,70.2,24.5,1,1,1,,
2024,Creighton,Tennessee,67.9,28.82,70.6,30.53,0,1,1,,
2024,Connecticut,Illinois,66.2,35.48,70.6,27.69,1,1,1,,
2024,Alabama,Clemson,74.2,29.44,67.5,21.3,1,1,1,,
2024,Duke,NC State,67.7,29.6,68.8,16.44,0,1,1,,
2024,Purdue,Tennessee,69,34.84,70.6,30.53,1,1,1,,
2024,Connecticut,Alabama,66.2,35.48,74.2,29.44,1,1,1,,
2024,NC State,Purdue,68.8,16.44,69,34.84,0,1,1,,
2024,Connecticut,Purdue,66.2,35.48,69,34.84,1,1,1,,
