year,Team_A,Team_B,poss_A,rtg_A,poss_B,rtg_B,winner,formatting_a,formatting_b,,
2013,Illinois,Colorado,65.5,20.19,65.7,19.97,1,1,1,,
2013,Miami (FL),Pacific,64,26.22,63.3,4.05,1,1,1,,
2013,Louisville,Colorado State,66.4,37.52,64.5,21.66,1,1,1,,
2013,Oregon,Saint Louis,68.8,20.88,64.5,22.86,1,1,1,,
2013,Memphis,Michigan State,69.5,18.31,64.7,28.61,0,1,1,,
2013,Creighton,Duke,65,25.46,68.2,32.5,0,1,1,,
2013,Gonzaga,Wichita State,65.3,31.26,64.9,22.66,0,1,1,,
2013,Mississippi,La Salle,70.5,20.61,66.5,15.76,0,1,1,,
2013,Arizona,Harvard,66.8,26.17,63.9,6.89,1,1,1,,
2013,Iowa State,Ohio State,70,21.64,64.3,30.72,0,1,1,,
2013,Kansas,North Carolina,67.8,30.81,71.6,20.96,1,1,1,,
2013,Virginia Commonwealth,Michigan,68.6,24.6,64.1,33.11,0,1,1,,
2013,Minnesota,Florida,63.5,25.56,62.9,37.67,0,1,1,,
2013,San Diego State,Florida Gulf Coast,66.6,20.17,69.5,5.13,0,1,1,,
2013,Indiana,Temple,67.1,36.69,67.6,14.81,1,1,1,,
2013,California,Syracuse,66.5,16.56,65.2,29.86,0,1,1,,
2013,Butler,Marquette,64.9,17.52,63.4,21.77,0,1,1,,
2013,Illinois,Miami (FL),65.5,20.19,64,26.22,0,1,1,,
2013,Louisville,Oregon,66.4,37.52,68.8,20.88,1,1,1,,
2013,Michigan State,Duke,64.7,28.61,68.2,32.5,0,1,1,,
2013,Wichita State,La Salle,64.9,22.66,66.5,15.76,1,1,1,,
2013,Arizona,Ohio State,66.8,26.17,64.3,30.72,0,1,1,,
2013,Kansas,Michigan,67.8,30.81,64.1,33.11,0,1,1,,
2013,Florida,Florida Gulf Coast,62.9,37.67,69.5,5.13,1,1,1,,
2013,Indiana,Syracuse,67.1,36.69,65.2,29.86,0,1,1,,
2013,Marquette,Miami (FL),63.4,21.77,64,26.22,1,1,1,,
2013,Louisville,Duke,66.4,37.52,68.2,32.5,1,1,1,,
2013,Wichita State,Ohio State,64.9,22.66,64.3,30.72,1,1,1,,
2013,Michigan,Florida,64.1,33.11,62.9,37.67,1,1,1,,
2013,Syracuse,Marquette,65.2,29.86,63.4,21.77,1,1,1,,
2013,Louisville,Wichita State,66.4,37.52,64.9,22.66,1,1,1,,
2013,Michigan,Syracuse,64.1,33.11,65.2,29.86,1,1,1,,
2013,Louisville,Michigan,66.4,37.52,64.1,33.11,1,1,1,,
2014,Florida,Albany (NY),62.7,31.98,63.1,-3.72,1,1,1,,
2014,Colorado,Pittsburgh,67,15.58,62.5,26.6,0,1,1,,
2014,Virginia Commonwealth,Stephen F. Austin,70.4,21.34,65.5,8.17,0,1,1,,
2014,UCLA,Tulsa,70,26.58,68.7,9.86,1,1,1,,
2014,Ohio State,Dayton,65,27.43,65.4,16.25,0,1,1,,
2014,Syracuse,Western Michigan,60.5,25.32,66.5,2.96,1,1,1,,
2014,New Mexico,Stanford,65.6,19.42,67.1,19.95,0,1,1,,
2014,Kansas,Eastern Kentucky,68.6,29.81,67.4,1.48,1,1,1,,
2014,Virginia,Coastal Carolina,60.6,29.08,68.6,-6.88,1,1,1,,
2014,Memphis,George Washington,70.6,18.91,67.9,15.85,1,1,1,,
2014,Cincinnati,Harvard,63.6,22.73,64.6,17.41,0,1,1,,
2014,Michigan State,Delaware,66,28.66,70.9,4.12,1,1,1,,
2014,North Carolina,Providence,70,22.39,64.9,17.34,1,1,1,,
2014,Iowa State,North Carolina Central,71.7,26.59,64.8,6.67,1,1,1,,
2014,Connecticut,Saint Joseph's,65.5,25.53,66,14.12,1,1,1,,
2014,Villanova,Milwaukee,67.6,27.98,67.9,-1.47,1,1,1,,
2014,Arizona,Weber State,64.1,35.45,64.3,-0.86,1,1,1,,
2014,Gonzaga,Oklahoma State,67.2,23.2,69.6,27.31,1,1,1,,
2014,Oklahoma,North Dakota State,71.7,21.5,63.9,10.33,0,1,1,,
2014,San Diego State,New Mexico State,63.9,22.99,66.9,10.11,1,1,1,,
2014,Baylor,Nebraska,64.2,23.72,65.4,15.64,1,1,1,,
2014,Creighton,Louisiana,65.3,26.82,71.2,4.32,1,1,1,,
